Cod,Freq,Mag
0,2320,2.8874
0,2330,2.8397
0,2340,2.5463
0,2350,2.299
0,2360,2.6785
0,2370,1.9447
0,2380,1.7941
0,2390,1.9296
0,2400,1.5878
0,2410,2.0821
0,2420,1.9735
0,2430,1.5677
0,2440,1.3781
0,2450,1.3116
0,2460,1.6783
0,2470,1.453
0,2480,1.4649
0,2490,1.1084
0,2500,1.1183
0,2510,1.0983
0,2520,1.1124
0,2530,1.0843
0,2540,1.3538
0,2550,1.2338
0,2560,1.4846
0,2570,1.5387
0,2580,1.3991
0,2590,1.4557
0,2600,1.6469
0,2610,2.0368
0,2620,2.1876
0,2630,1.9185
0,2640,2.2216
0,2650,1.6129
0,2660,1.803
0,2670,1.7624
0,2680,1.3902
0,2690,1.5806
0,2700,1.4639
0,2710,1.3564
0,2720,1.2192
0,2730,0.915
0,2740,0.9667
0,2750,0.8401
0,2760,1.1424
0,2770,0.5529
0,2780,1.0657
0,2790,0.7132
0,2800,0.5347
0,2810,0.3891
0,2820,0.8524
0,2830,0.4244
0,2840,0.5554
0,2850,0.3155
0,2860,0.3867
0,2870,0.6854
0,2880,0.8206
0,2890,0.8098
0,2900,1.0815
0,2910,0.9852
0,2920,1.0626
0,2930,1.195
0,2940,0.9832
0,2950,1.0784
0,2960,0.929
0,2970,1.0932
0,2980,0.9939
0,2990,0.949
0,3000,0.9083
0,3010,0.6965
0,3020,0.5269
0,3030,0.1187
0,3040,-0.1079
0,3050,-0.5945
0,3060,-0.7429
0,3070,-0.794
0,3080,-0.8793
0,3090,-1.0061
0,3100,-1.2942
0,3110,-1.0155
0,3120,-1.4114
0,3130,-1.9279
0,3140,-1.7039
0,3150,-1.7201
0,3160,-1.5334
0,3170,-1.5587
0,3180,-1.3085
0,3190,-1.2074
0,3200,-1.9181
0,3210,-1.4776
0,3220,-0.9473
0,3230,-1.0786
0,3240,-0.9615
0,3250,-0.9355
0,3260,-0.8528
0,3270,-0.5702
0,3280,-0.6582
0,3290,-0.1009
0,3300,-0.4402
0,3310,-0.0534
0,3320,0.0164
0,3330,0.0765
0,3340,-0.2096
0,3350,-0.2903
0,3360,-0.2843
0,3370,-0.4961
0,3380,-0.895
0,3390,-0.4599
0,3400,-0.8467
0,3410,-1.521
0,3420,-1.538
0,3430,-1.6901
0,3440,-1.8235
0,3450,-1.8808
0,3460,-2.0474
0,3470,-2.4088
0,3480,-2.205
0,3490,-2.4892
0,3500,-2.7444
0,3510,-3.1069
0,3520,-2.9798
0,3530,-2.7538
0,3540,-2.9745
0,3550,-3.0139
0,3560,-3.0443
0,3570,-2.7623
0,3580,-2.7606
0,3590,-2.5446
0,3600,-2.4901
0,3610,-2.1013
0,3620,-2.6158
0,3630,-2.6768
0,3640,-2.1219
0,3650,-1.9172
0,3660,-1.7856
0,3670,-2.0085
0,3680,-1.5244
0,3690,-1.0837
0,3700,-1.5386
0,3710,-1.3169
0,3720,-1.1504
0,3730,-1.1811
0,3740,-1.2067
0,3750,-1.2924
0,3760,-1.8076
0,3770,-1.281
0,3780,-1.3448
0,3790,-1.6736
0,3800,-1.5552
0,3810,-1.6711
0,3820,-2.0392
0,3830,-2.6749
0,3840,-2.2182
0,3850,-2.3603
0,3860,-2.3173
0,3870,-2.39
0,3880,-3.1404
0,3890,-2.556
0,3900,-3.113
0,3910,-3.3059
0,3920,-2.7827
0,3930,-3.2925
0,3940,-2.8062
0,3950,-2.6459
0,3960,-2.778
0,3970,-2.7351
0,3980,-2.7131
0,3990,-3.1346
0,4000,-2.2978
0,4010,4.4
0,4020,4.471
0,4030,4.2044
0,4040,4.0847
0,4050,4.575
0,4060,3.8075
0,4070,4.1665
0,4080,4.4464
0,4090,4.2558
0,4100,4.4204
0,4110,3.8799
0,4120,3.8788
0,4130,4.3445
0,4140,3.8016
0,4150,4.1908
0,4160,3.7071
0,4170,4.2184
0,4180,3.9934
0,4190,3.8595
0,4200,3.3998
0,4210,3.623
0,4220,3.8184
0,4230,4.3013
0,4240,4.2777
0,4250,4.1235
0,4260,4.2345
0,4270,4.1242
0,4280,3.6966
0,4290,4.2456
0,4300,3.5303
0,4310,4.1259
0,4320,4.0116
